document_id,document_type,document_title,business_area,plant,owner_id,status,version,effective_date,expiration_date,last_review_date,next_review_date,approval_status,confidentiality_level,file_reference,created_date,updated_date
DOC-10227,Compliance Document,Regulatory Compliance Document - DOC-10227,Program Management,QRO-01,OWN-018,Active,v5.3,2025-08-19,2027-06-20,2025-10-19,2026-05-09,Approved,Internal,SAP/DOCS/DOC-10227.pdf,2025-07-14,2027-04-21
DOC-10228,NDA,Non-Disclosure Agreement - DOC-10228,Finance,CHI-02,OWN-037,Pending Approval,v2.0,2025-04-28,2027-05-05,2026-01-31,2026-10-26,Approved,Internal,SAP/DOCS/DOC-10228.pdf,2025-03-28,2026-02-18
DOC-10229,NDA,Non-Disclosure Agreement - DOC-10229,Compliance,CHI-02,OWN-050,Draft,v2.1,2024-10-23,2026-08-17,2025-08-20,2026-05-18,Approved,Internal,SAP/DOCS/DOC-10229.pdf,2024-10-19,2025-06-30
DOC-10230,SOP,Standard Operating Procedure - DOC-10230,Compliance,ELP-01,OWN-012,Active,v3.9,2023-07-31,2025-09-07,2024-03-15,2024-12-10,Approved,Confidential,SAP/DOCS/DOC-10230.pdf,2023-07-16,2023-08-14
DOC-10231,Quality Record,Quality Inspection Record - DOC-10231,Supply Chain,QRO-01,OWN-012,Draft,v2.9,2026-06-02,2028-04-16,2027-04-05,2027-12-20,Approved,Public,SAP/DOCS/DOC-10231.pdf,2025-03-04,2026-12-31
DOC-10232,Work Instruction,Operational Work Instruction - DOC-10232,Program Management,ELP-01,,Active,v2.1,2024-05-18,2025-10-28,2024-09-15,2025-06-04,Approved,Confidential,SAP/DOCS/DOC-10232.pdf,2024-05-09,2025-10-30
DOC-10233,NDA,Non-Disclosure Agreement - DOC-10233,Engineering,CHI-02,OWN-021,Active,v4.7,2025-07-19,2026-04-28,2026-02-06,2026-10-21,Approved,Internal,SAP/DOCS/DOC-10233.pdf,2025-06-11,2027-04-07
DOC-10234,Compliance Document,Regulatory Compliance Document - DOC-10234,Compliance,QRO-01,OWN-025,Pending Approval,v2.2,2025-04-07,2027-08-16,2026-03-04,2026-10-14,Approved,Confidential,SAP/DOCS/DOC-10234.pdf,2025-03-23,2025-03-25
DOC-10235,Work Instruction,Operational Work Instruction - DOC-10235,Compliance,CHI-01,OWN-040,Draft,v4.2,2026-06-01,2027-06-02,2027-05-05,2028-01-21,Approved,Confidential,SAP/DOCS/DOC-10235.pdf,2026-05-29,2027-05-04
DOC-10236,Contract,Service Contract Agreement - DOC-10236,Quality,CHI-02,OWN-043,Active,v4.0,2025-01-17,2027-04-28,2025-04-02,2026-03-29,Approved,Restricted,SAP/DOCS/DOC-10236.pdf,2025-01-06,2025-10-05
DOC-10237,Compliance Document,Regulatory Compliance Document - DOC-10237,Engineering,QRO-01,OWN-029,Active,v4.7,2024-09-06,2024-08-07,2024-10-30,2025-08-04,Missing,Restricted,SAP/DOCS/DOC-10237.pdf,2024-08-30,2025-09-22
DOC-10238,Work Instruction,Operational Work Instruction - DOC-10238,Engineering,CHI-01,OWN-029,Active,v3.0,2026-01-05,2028-04-30,2026-05-30,2027-01-06,Approved,Confidential,SAP/DOCS/DOC-10238.pdf,2025-11-29,2026-10-22
DOC-10239,NDA,Non-Disclosure Agreement - DOC-10239,Compliance,CHI-02,OWN-022,Active,v4.0,2025-05-11,2026-01-22,2026-03-17,2026-10-06,Approved,Confidential,SAP/DOCS/DOC-10239.pdf,2025-04-30,2026-07-16
DOC-10240,Quality Record,Quality Inspection Record - DOC-10240,Engineering,ELP-01,OWN-013,Draft,v5.4,2024-02-12,2024-11-21,2024-08-29,2025-04-18,Approved,Confidential,SAP/DOCS/DOC-10240.pdf,2024-02-08,2025-12-16
DOC-10241,Contract,Service Contract Agreement - DOC-10241,Quality,CHI-01,OWN-004,Active,v3.9,2025-07-12,2027-07-24,2026-04-19,2026-11-24,Approved,Internal,SAP/DOCS/DOC-10241.pdf,2025-06-05,2026-10-10
DOC-10242,NDA,Non-Disclosure Agreement - DOC-10242,Finance,MTY-01,OWN-026,Active,v3.1,2024-11-16,2026-09-11,2025-02-13,2025-10-29,Approved,Restricted,SAP/DOCS/DOC-10242.pdf,2024-11-10,2026-08-30
DOC-10243,Contract,Service Contract Agreement - DOC-10243,Quality,CHI-01,OWN-017,Active,v3.9,2025-06-06,2025-08-31,2026-02-19,2025-10-25,Approved,Internal,SAP/DOCS/DOC-10243.pdf,2025-05-13,2025-07-16
DOC-10244,NDA,Non-Disclosure Agreement - DOC-10244,Finance,CHI-02,OWN-004,Expired,v4.8,2026-05-02,2028-06-23,2026-09-25,2027-08-12,Pending,Confidential,SAP/DOCS/DOC-10244.pdf,2026-04-05,2027-08-05
DOC-10245,Work Instruction,Operational Work Instruction - DOC-10245,Quality,CHI-02,OWN-037,Active,,2025-06-12,2027-05-07,2026-04-30,2027-03-08,Approved,Confidential,SAP/DOCS/DOC-10245.pdf,2025-06-09,2025-12-04
DOC-10246,Contract,Service Contract Agreement - DOC-10246,Operations,QRO-01,OWN-041,Active,v3.1,2025-08-13,2028-01-09,2026-04-22,2026-12-09,Approved,Confidential,SAP/DOCS/DOC-10246.pdf,2025-08-07,2025-11-05
DOC-10247,Work Instruction,Operational Work Instruction - DOC-10247,Quality,QRO-01,OWN-040,Active,v1.6,2024-11-12,2026-08-23,2024-12-18,2025-12-12,Missing,Confidential,SAP/DOCS/DOC-10247.pdf,2024-10-09,2025-03-12
DOC-10248,Quality Record,Quality Inspection Record - DOC-10248,Operations,QRO-01,OWN-035,Active,v3.6,2023-10-22,2025-11-16,2024-01-11,2024-09-20,Missing,Restricted,SAP/DOCS/DOC-10248.pdf,2023-10-15,2025-08-16
DOC-10249,Quality Record,Quality Inspection Record - DOC-10249,Supply Chain,MTY-01,OWN-039,Active,v4.5,2024-03-28,2025-11-10,2024-07-09,2025-06-12,Approved,Internal,SAP/DOCS/DOC-10249.pdf,2024-03-10,2024-11-09
DOC-10250,SOP,Standard Operating Procedure - DOC-10250,Compliance,MTY-01,OWN-032,Draft,v2.2,2023-05-26,2024-09-27,2023-12-01,2024-08-08,Rejected,Confidential,,2023-05-04,2024-03-07
DOC-10251,SOP,Standard Operating Procedure - DOC-10251,Program Management,CHI-01,OWN-029,Active,,2025-09-01,2027-12-21,2025-11-15,2026-07-01,Approved,Confidential,SAP/DOCS/DOC-10251.pdf,2025-07-24,2026-08-11
DOC-10252,Quality Record,Quality Inspection Record - DOC-10252,Program Management,CHI-02,OWN-050,Obsolete,v1.2,2023-08-25,2025-07-23,2024-04-17,2024-11-17,Rejected,Restricted,SAP/DOCS/DOC-10252.pdf,2023-08-05,2024-02-19
DOC-10253,NDA,Non-Disclosure Agreement - DOC-10253,Engineering,MTY-01,OWN-024,Active,v1.0,2025-10-17,2027-04-19,2026-02-25,2026-11-02,Pending,Internal,SAP/DOCS/DOC-10253.pdf,2025-10-13,2026-06-18
DOC-10254,Quality Record,Quality Inspection Record - DOC-10254,Operations,CHI-01,OWN-011,Active,,2025-12-27,2028-01-10,2026-07-24,2027-04-18,Pending,Internal,SAP/DOCS/DOC-10254.pdf,2025-11-19,2025-12-18
DOC-10255,Contract,Service Contract Agreement - DOC-10255,Quality,CHI-02,OWN-014,Draft,v1.0,2024-06-19,2026-10-09,2024-11-11,2025-10-30,Approved,Internal,SAP/DOCS/DOC-10255.pdf,2024-06-04,2025-10-03
DOC-10256,Quality Record,Quality Inspection Record - DOC-10256,Engineering,CHI-02,OWN-046,Active,v4.5,2024-07-11,2026-09-21,2025-01-13,2026-01-10,Missing,Internal,,2024-06-24,2025-10-08
DOC-10257,Work Instruction,Operational Work Instruction - DOC-10257,Finance,QRO-01,OWN-001,Active,v3.8,2026-04-03,2027-11-10,2027-02-26,,Approved,Confidential,SAP/DOCS/DOC-10257.pdf,2026-02-22,2027-12-17
DOC-10258,SOP,Standard Operating Procedure - DOC-10258,Finance,CHI-02,OWN-041,Active,v3.3,2023-12-01,2024-08-02,2024-06-20,,Approved,Internal,SAP/DOCS/DOC-10258.pdf,2023-10-31,2024-04-02
DOC-10259,NDA,Non-Disclosure Agreement - DOC-10259,Operations,CHI-01,OWN-002,Draft,v3.6,2025-08-10,2026-12-30,2025-11-19,2026-11-18,Approved,Restricted,SAP/DOCS/DOC-10259.pdf,2025-06-28,2026-08-17
DOC-10260,Quality Record,Quality Inspection Record - DOC-10260,Program Management,QRO-01,OWN-031,Obsolete,v5.4,2024-05-07,2025-06-18,2025-03-06,2026-02-12,Missing,Confidential,SAP/DOCS/DOC-10260.pdf,2024-04-15,2024-10-07
DOC-10261,Contract,Service Contract Agreement - DOC-10261,Compliance,ELP-01,OWN-044,Active,v2.5,2025-11-21,2027-02-08,2026-10-03,,Rejected,Confidential,SAP/DOCS/DOC-10261.pdf,2025-11-12,2026-06-29
DOC-10262,Work Instruction,Operational Work Instruction - DOC-10262,Supply Chain,MTY-01,OWN-030,Obsolete,v5.9,2025-02-23,2026-05-15,2026-01-18,2026-09-30,Rejected,Internal,SAP/DOCS/DOC-10262.pdf,2025-01-30,2026-10-28
DOC-10263,Contract,Service Contract Agreement - DOC-10263,Quality,ELP-01,OWN-010,Active,v4.9,2025-06-16,2025-08-31,2026-02-12,2026-08-24,Approved,Internal,SAP/DOCS/DOC-10263.pdf,2025-05-13,2026-08-25
DOC-10264,Compliance Document,Regulatory Compliance Document - DOC-10264,Finance,CHI-02,OWN-021,Active,v3.3,2023-10-07,2025-03-10,2024-09-24,,Approved,Public,SAP/DOCS/DOC-10264.pdf,2023-09-05,2024-02-25
DOC-10265,Work Instruction,Operational Work Instruction - DOC-10265,Finance,CHI-02,OWN-028,Obsolete,v4.0,2023-09-29,2025-12-16,2024-06-07,2025-05-15,Approved,Restricted,SAP/DOCS/DOC-10265.pdf,2023-09-20,2023-10-29
DOC-10266,Compliance Document,Regulatory Compliance Document - DOC-10266,Quality,CHI-01,OWN-044,Active,,2023-05-12,2025-05-04,2023-09-16,2024-03-18,Approved,Confidential,SAP/DOCS/DOC-10266.pdf,2023-04-21,2024-03-06
DOC-10267,Work Instruction,Operational Work Instruction - DOC-10267,Compliance,CHI-02,OWN-019,Active,v5.5,2024-12-20,2025-08-23,2025-02-11,2025-10-25,Missing,Internal,SAP/DOCS/DOC-10267.pdf,2024-12-09,2026-02-27
DOC-10268,SOP,Standard Operating Procedure - DOC-10268,Finance,QRO-01,OWN-002,Pending Approval,v2.3,2026-01-13,2027-01-20,2026-05-07,2027-02-14,Approved,Confidential,SAP/DOCS/DOC-10268.pdf,2025-12-21,2026-01-13
DOC-10269,Contract,Service Contract Agreement - DOC-10269,Compliance,CHI-01,OWN-040,Active,v1.0,2023-07-03,2025-10-15,2023-12-10,2024-10-21,Approved,Restricted,SAP/DOCS/DOC-10269.pdf,2023-06-08,2023-07-28
DOC-10270,Work Instruction,Operational Work Instruction - DOC-10270,Compliance,CHI-01,OWN-010,Active,v1.4,2024-01-07,2025-03-20,2024-10-05,2025-09-29,Approved,Confidential,SAP/DOCS/DOC-10270.pdf,2023-12-02,2025-02-05
DOC-10271,Compliance Document,Regulatory Compliance Document - DOC-10271,Finance,CHI-02,OWN-040,Active,v1.7,2024-01-25,2024-11-07,2024-11-11,2025-11-10,Approved,Internal,SAP/DOCS/DOC-10271.pdf,2023-12-29,2024-07-20
DOC-10272,SOP,Standard Operating Procedure - DOC-10272,Quality,CHI-01,OWN-011,Active,v2.7,2024-06-02,2026-11-19,2025-01-27,2025-10-25,Approved,Internal,SAP/DOCS/DOC-10272.pdf,2024-05-10,2025-04-14
DOC-10273,NDA,Non-Disclosure Agreement - DOC-10273,Quality,MTY-01,,Expired,v1.4,2023-12-12,2026-04-25,2024-09-19,2025-04-25,Pending,Public,SAP/DOCS/DOC-10273.pdf,2023-11-05,2025-08-26
DOC-10274,SOP,Standard Operating Procedure - DOC-10274,Supply Chain,CHI-02,OWN-024,Active,v1.1,2023-07-11,2024-07-03,2023-08-30,,Pending,Internal,SAP/DOCS/DOC-10274.pdf,2023-07-04,2023-08-20
DOC-10275,Compliance Document,Regulatory Compliance Document - DOC-10275,Operations,,OWN-047,Active,v2.1,2025-02-17,2025-08-31,2026-01-31,2026-10-06,Approved,Confidential,SAP/DOCS/DOC-10275.pdf,2025-01-25,2026-03-12
DOC-10276,SOP,Standard Operating Procedure - DOC-10276,Finance,MTY-01,OWN-009,Draft,v2.1,2025-12-24,2028-04-16,2026-04-18,2026-11-12,Approved,Public,SAP/DOCS/DOC-10276.pdf,2025-11-27,2027-01-28
DOC-10277,Quality Record,Quality Inspection Record - DOC-10277,Supply Chain,MTY-01,OWN-002,Expired,v2.7,2024-05-08,2025-11-27,2024-12-07,2025-11-08,Rejected,Restricted,SAP/DOCS/DOC-10277.pdf,2024-03-29,2025-08-11
DOC-10278,Work Instruction,Operational Work Instruction - DOC-10278,Program Management,ELP-01,OWN-044,Draft,v5.3,2024-10-21,2026-03-06,2024-11-26,2025-10-25,Approved,Confidential,SAP/DOCS/DOC-10278.pdf,2025-03-04,2026-07-27
DOC-10279,Quality Record,Quality Inspection Record - DOC-10279,Supply Chain,CHI-01,OWN-023,Active,v2.8,2023-11-02,2026-03-08,2024-04-07,2025-02-04,Approved,Confidential,SAP/DOCS/DOC-10279.pdf,2023-10-05,2025-06-24
DOC-10280,Compliance Document,Regulatory Compliance Document - DOC-10280,Quality,QRO-01,OWN-049,Pending Approval,v3.0,2026-02-22,2026-01-23,2026-06-16,2027-01-01,Approved,Internal,SAP/DOCS/DOC-10280.pdf,2026-01-22,2027-06-26
DOC-10281,Compliance Document,Regulatory Compliance Document - DOC-10281,Compliance,CHI-01,OWN-029,Active,v3.1,2024-07-23,2026-05-04,2025-04-06,2026-02-26,Approved,Internal,,2024-07-17,2025-12-09
DOC-10282,NDA,Non-Disclosure Agreement - DOC-10282,Compliance,MTY-01,OWN-039,Active,v5.8,2023-07-11,2025-07-22,2023-08-10,2024-02-29,Missing,Confidential,SAP/DOCS/DOC-10282.pdf,2023-06-05,2024-01-03
DOC-10283,SOP,Standard Operating Procedure - DOC-10283,Supply Chain,CHI-02,OWN-050,Active,v3.7,2023-07-28,2025-05-03,2024-02-12,2024-12-31,Approved,Internal,SAP/DOCS/DOC-10283.pdf,2023-07-13,2023-11-07
DOC-10284,NDA,Non-Disclosure Agreement - DOC-10284,Engineering,QRO-01,OWN-007,Active,v2.6,2024-12-16,2024-11-16,2025-07-25,2026-07-19,Approved,Internal,SAP/DOCS/DOC-10284.pdf,2024-11-10,2025-02-28
DOC-10285,Contract,Service Contract Agreement - DOC-10285,Operations,QRO-01,OWN-022,Active,v5.1,2025-06-19,2027-03-29,2025-10-24,2026-10-22,Approved,Internal,SAP/DOCS/DOC-10285.pdf,2025-06-05,2026-09-10
DOC-10286,Quality Record,Quality Inspection Record - DOC-10286,Quality,CHI-02,OWN-028,Active,v5.2,2026-01-09,2028-01-02,2026-03-04,2027-01-19,Pending,Internal,SAP/DOCS/DOC-10286.pdf,2026-01-08,2027-08-24
DOC-10287,NDA,Non-Disclosure Agreement - DOC-10287,Program Management,CHI-02,,Active,v3.4,2025-02-13,2026-09-09,2025-10-15,2026-09-15,Pending,Internal,SAP/DOCS/DOC-10287.pdf,2025-01-11,2026-04-20
DOC-10288,Contract,Service Contract Agreement - DOC-10288,Finance,ELP-01,OWN-046,Active,v2.3,2026-02-25,2028-08-11,2027-01-01,2027-09-18,Pending,Confidential,SAP/DOCS/DOC-10288.pdf,2026-02-05,2026-09-08
DOC-10289,Compliance Document,Regulatory Compliance Document - DOC-10289,Finance,QRO-01,OWN-045,Active,v3.8,2024-01-31,2025-01-27,2024-11-13,2025-09-27,Approved,Confidential,SAP/DOCS/DOC-10289.pdf,2023-12-20,2025-04-25
DOC-10290,Compliance Document,Regulatory Compliance Document - DOC-10290,,CHI-02,OWN-007,Active,v1.3,2026-04-09,2027-12-12,2026-05-15,2025-10-25,Approved,Internal,SAP/DOCS/DOC-10290.pdf,2026-03-21,2026-12-20
DOC-10291,SOP,Standard Operating Procedure - DOC-10291,Program Management,QRO-01,OWN-049,Expired,v4.1,2024-01-21,2026-06-26,2024-07-20,2025-03-09,Approved,Internal,SAP/DOCS/DOC-10291.pdf,2024-01-17,2025-10-09
DOC-10292,Contract,Service Contract Agreement - DOC-10292,Program Management,ELP-01,OWN-019,Obsolete,v4.6,2026-06-10,2027-08-07,2027-03-28,2028-03-20,Approved,Public,SAP/DOCS/DOC-10292.pdf,2026-05-16,2027-07-17
DOC-10293,Quality Record,Quality Inspection Record - DOC-10293,Quality,CHI-02,OWN-041,Active,v5.8,2024-09-01,2026-11-25,2025-05-15,,Pending,Confidential,SAP/DOCS/DOC-10293.pdf,2024-08-19,2026-04-29
DOC-10294,SOP,Standard Operating Procedure - DOC-10294,Finance,ELP-01,OWN-025,Active,v3.2,2023-09-04,2024-08-26,2024-06-23,2025-01-19,Approved,Internal,SAP/DOCS/DOC-10294.pdf,2023-08-23,2024-02-04
DOC-10295,NDA,Non-Disclosure Agreement - DOC-10295,Finance,ELP-01,OWN-004,Active,v3.7,2024-02-07,2025-01-09,2024-08-20,2025-07-18,Pending,Confidential,SAP/DOCS/DOC-10295.pdf,2024-02-04,2025-09-13
DOC-10296,NDA,Non-Disclosure Agreement - DOC-10296,Supply Chain,ELP-01,,Obsolete,v5.8,2025-02-05,2026-03-17,2025-06-09,2026-04-18,Pending,Internal,SAP/DOCS/DOC-10296.pdf,2025-01-02,2026-02-20
DOC-10297,Contract,Service Contract Agreement - DOC-10297,Compliance,ELP-01,OWN-049,Draft,v5.0,2025-02-22,2026-08-25,2025-08-21,2026-04-13,Approved,Internal,SAP/DOCS/DOC-10297.pdf,2025-01-31,2025-05-29
DOC-10298,Work Instruction,Operational Work Instruction - DOC-10298,Program Management,ELP-01,OWN-008,Active,v3.0,2024-08-07,2027-01-02,2025-02-17,2025-11-21,Approved,Internal,SAP/DOCS/DOC-10298.pdf,2024-08-04,2026-01-16
DOC-10299,Quality Record,Quality Inspection Record - DOC-10299,Finance,CHI-01,OWN-013,Draft,v1.2,2025-10-23,2026-06-04,2026-04-22,2027-04-03,Approved,Public,SAP/DOCS/DOC-10299.pdf,2025-09-21,2027-03-26
DOC-10300,Compliance Document,Regulatory Compliance Document - DOC-10300,Supply Chain,MTY-01,OWN-035,Active,v4.1,2024-07-16,2026-03-22,2024-10-07,2025-10-25,Pending,Restricted,,2024-06-02,2024-11-07
DOC-10301,Compliance Document,Regulatory Compliance Document - DOC-10301,Operations,MTY-01,OWN-036,Active,v3.6,2023-09-24,2024-05-16,2024-01-23,2024-09-23,Missing,Restricted,SAP/DOCS/DOC-10301.pdf,2023-09-19,2024-10-21
DOC-10302,Work Instruction,Operational Work Instruction - DOC-10302,Engineering,QRO-01,OWN-042,Active,v5.0,2025-07-12,2026-05-09,2026-05-11,2026-11-08,Pending,Public,SAP/DOCS/DOC-10302.pdf,2025-05-29,2025-08-12
DOC-10303,NDA,Non-Disclosure Agreement - DOC-10303,Quality,CHI-02,OWN-025,Active,v4.2,2025-01-08,2025-10-03,2025-07-01,2026-04-19,Approved,Confidential,SAP/DOCS/DOC-10303.pdf,2024-11-30,2026-05-31
DOC-10304,Compliance Document,Regulatory Compliance Document - DOC-10304,Program Management,QRO-01,OWN-044,Active,v3.0,2026-05-03,2028-08-09,2026-08-14,2027-04-27,Rejected,Restricted,SAP/DOCS/DOC-10304.pdf,2026-04-14,2027-11-02
DOC-10305,Contract,Service Contract Agreement - DOC-10305,Compliance,QRO-01,OWN-036,Active,v3.3,2023-05-10,2025-07-08,2023-12-27,2024-11-08,Missing,Internal,SAP/DOCS/DOC-10305.pdf,2023-04-03,2024-05-30
DOC-10306,Contract,Service Contract Agreement - DOC-10306,Compliance,QRO-01,OWN-012,Active,v1.8,2024-07-28,2025-10-09,2024-12-04,2025-07-01,Approved,Confidential,SAP/DOCS/DOC-10306.pdf,2024-06-18,2025-10-04
DOC-10307,NDA,Non-Disclosure Agreement - DOC-10307,Engineering,QRO-01,OWN-038,Active,v2.3,2023-08-25,2024-05-31,2024-01-03,2025-01-02,Approved,Internal,SAP/DOCS/DOC-10307.pdf,2023-08-08,2023-11-19
DOC-10308,NDA,Non-Disclosure Agreement - DOC-10308,Program Management,,OWN-043,Pending Approval,,2025-02-03,2026-11-06,2025-08-20,2026-07-23,Approved,Confidential,SAP/DOCS/DOC-10308.pdf,2025-01-02,2026-01-11
DOC-10309,Work Instruction,Operational Work Instruction - DOC-10309,Operations,ELP-01,OWN-018,Active,v3.7,2025-01-09,2026-02-19,2026-01-02,,Pending,Internal,SAP/DOCS/DOC-10309.pdf,2024-12-24,2026-04-12
DOC-10310,SOP,Standard Operating Procedure - DOC-10310,,CHI-01,OWN-018,Active,v5.3,2023-11-13,2026-03-03,2024-10-18,2025-05-06,Rejected,Internal,SAP/DOCS/DOC-10310.pdf,2023-11-01,2024-07-28
DOC-10311,Compliance Document,Regulatory Compliance Document - DOC-10311,Finance,QRO-01,OWN-038,Active,v1.8,2023-06-03,2025-09-06,2023-07-18,2024-06-10,Approved,Confidential,SAP/DOCS/DOC-10311.pdf,2023-05-01,2024-01-23
DOC-10312,Work Instruction,Operational Work Instruction - DOC-10312,Operations,ELP-01,OWN-047,Expired,v5.8,2024-02-15,2025-09-18,2024-07-08,2025-06-03,Rejected,Internal,SAP/DOCS/DOC-10312.pdf,2024-01-22,2024-04-24
DOC-10313,Quality Record,Quality Inspection Record - DOC-10313,Engineering,CHI-01,OWN-009,Active,v5.2,2024-09-03,2027-01-31,2024-12-26,2025-11-02,Approved,Internal,SAP/DOCS/DOC-10313.pdf,2024-07-25,2025-12-03
DOC-10314,Contract,Service Contract Agreement - DOC-10314,Operations,CHI-01,OWN-003,Obsolete,v3.6,2024-07-15,2025-10-08,2025-02-19,2025-10-16,Approved,Internal,SAP/DOCS/DOC-10314.pdf,2024-07-10,2025-11-03
DOC-10315,NDA,Non-Disclosure Agreement - DOC-10315,Operations,MTY-01,OWN-018,Pending Approval,v5.9,2025-01-22,2027-07-11,2025-11-14,2026-10-22,Pending,Internal,SAP/DOCS/DOC-10315.pdf,2025-01-15,2025-07-13
DOC-10316,SOP,Standard Operating Procedure - DOC-10316,,,OWN-034,Expired,v3.7,2023-10-03,2024-12-13,2024-05-12,2025-01-04,Approved,Confidential,SAP/DOCS/DOC-10316.pdf,2023-08-30,2025-01-05
DOC-10317,Quality Record,Quality Inspection Record - DOC-10317,Compliance,CHI-01,OWN-042,Active,v2.5,2025-09-20,2026-11-09,2025-11-28,2025-10-25,Approved,Internal,,2025-09-09,2027-05-19
DOC-10318,Compliance Document,Regulatory Compliance Document - DOC-10318,Supply Chain,CHI-02,OWN-014,Active,v4.0,2025-02-05,2026-12-10,2025-11-07,2026-09-05,Approved,Confidential,SAP/DOCS/DOC-10318.pdf,2025-01-28,2025-10-05
DOC-10319,Quality Record,Quality Inspection Record - DOC-10319,Finance,QRO-01,OWN-010,Active,v2.8,2024-02-03,2025-08-31,2024-03-24,2025-02-13,Approved,Internal,SAP/DOCS/DOC-10319.pdf,2023-12-24,2025-02-12
DOC-10320,Compliance Document,Regulatory Compliance Document - DOC-10320,Program Management,QRO-01,OWN-031,Active,v4.9,2024-10-30,2025-12-05,2025-07-16,2025-10-25,Rejected,Internal,SAP/DOCS/DOC-10320.pdf,2024-10-24,2025-03-20
DOC-10321,Contract,Service Contract Agreement - DOC-10321,Supply Chain,,OWN-039,Expired,v4.2,2026-02-19,2027-02-05,2026-09-12,2027-07-05,Approved,Internal,SAP/DOCS/DOC-10321.pdf,2026-02-02,2026-05-25
DOC-10322,Quality Record,Quality Inspection Record - DOC-10322,Finance,CHI-01,OWN-007,Draft,v5.0,2026-03-04,2027-11-03,2026-06-18,2027-05-19,Approved,Restricted,SAP/DOCS/DOC-10322.pdf,2026-01-19,2027-07-18
DOC-10323,NDA,Non-Disclosure Agreement - DOC-10323,Quality,MTY-01,OWN-042,Active,v1.8,2024-01-23,2026-01-24,2024-02-22,2025-02-09,Approved,Internal,SAP/DOCS/DOC-10323.pdf,2023-12-15,2025-02-27
DOC-10324,Work Instruction,Operational Work Instruction - DOC-10324,Operations,ELP-01,OWN-050,Active,v3.9,2023-11-07,2024-09-19,2024-04-15,2025-02-11,Approved,Restricted,SAP/DOCS/DOC-10324.pdf,2023-10-10,2025-04-19
DOC-10325,Contract,Service Contract Agreement - DOC-10325,Supply Chain,CHI-02,OWN-001,Active,v3.6,2023-05-14,2025-04-28,2023-08-12,2024-06-20,Approved,Internal,SAP/DOCS/DOC-10325.pdf,2023-04-07,2024-04-12
DOC-10326,Work Instruction,Operational Work Instruction - DOC-10326,Finance,,OWN-024,Expired,v4.3,2024-09-10,2026-09-08,2025-05-14,2026-04-03,Approved,Restricted,SAP/DOCS/DOC-10326.pdf,2024-08-24,2025-10-22
DOC-10327,Work Instruction,Operational Work Instruction - DOC-10327,Operations,CHI-02,OWN-037,Active,v2.1,2026-06-17,2028-04-22,2026-11-23,2027-08-08,Approved,Confidential,SAP/DOCS/DOC-10327.pdf,2026-05-12,2027-01-03
DOC-10328,NDA,Non-Disclosure Agreement - DOC-10328,Operations,QRO-01,OWN-044,Active,,2025-07-13,2027-07-26,2026-06-22,2027-06-15,Pending,Internal,SAP/DOCS/DOC-10328.pdf,2025-06-21,2025-11-17
DOC-10329,Work Instruction,Operational Work Instruction - DOC-10329,Finance,ELP-01,OWN-003,Active,v4.9,2024-09-27,2026-04-09,2024-12-06,2025-11-06,Missing,Restricted,SAP/DOCS/DOC-10329.pdf,2024-09-12,2026-07-16
DOC-10330,Compliance Document,Regulatory Compliance Document - DOC-10330,Supply Chain,QRO-01,OWN-001,Pending Approval,v5.4,2023-07-31,2025-11-12,2024-05-09,2025-02-25,Approved,Confidential,SAP/DOCS/DOC-10330.pdf,2023-07-19,2024-02-04
DOC-10331,Quality Record,Quality Inspection Record - DOC-10331,Engineering,MTY-01,OWN-016,Active,v1.4,2024-08-19,2025-08-07,2024-10-06,2025-07-05,Approved,Restricted,SAP/DOCS/DOC-10331.pdf,2024-07-10,2025-08-24
DOC-10332,Work Instruction,Operational Work Instruction - DOC-10332,Program Management,ELP-01,OWN-036,Expired,v5.5,2026-02-17,2028-08-05,2026-04-23,2026-11-12,Approved,Confidential,SAP/DOCS/DOC-10332.pdf,2026-02-16,2027-02-07
DOC-10333,Contract,Service Contract Agreement - DOC-10333,Engineering,ELP-01,OWN-017,Expired,v5.1,2024-05-25,2026-01-08,2025-04-14,2025-10-12,Approved,Internal,SAP/DOCS/DOC-10333.pdf,2024-04-25,2025-09-23
DOC-10334,NDA,Non-Disclosure Agreement - DOC-10334,Compliance,MTY-01,OWN-029,Draft,v2.5,2024-10-06,2026-11-13,2025-03-13,2026-03-05,Missing,Confidential,SAP/DOCS/DOC-10334.pdf,2024-09-01,2025-12-15
DOC-10335,Quality Record,Quality Inspection Record - DOC-10335,Engineering,QRO-01,OWN-041,Active,v2.5,2025-12-13,2027-03-02,2026-02-15,2025-10-25,Pending,Internal,SAP/DOCS/DOC-10335.pdf,2025-12-05,2027-02-01
DOC-10336,Quality Record,Quality Inspection Record - DOC-10336,Engineering,ELP-01,OWN-044,Active,v5.2,2024-09-29,2026-01-16,2024-12-15,2025-09-23,Pending,Internal,SAP/DOCS/DOC-10336.pdf,2024-09-13,2026-01-14
DOC-10337,Contract,Service Contract Agreement - DOC-10337,Quality,CHI-02,OWN-048,Draft,v3.3,2024-10-07,2024-09-07,2025-02-11,2025-12-15,Approved,Confidential,SAP/DOCS/DOC-10337.pdf,2024-09-25,2025-05-18
